Teams,GP,W,L,WIN%,MIN,PTS,AST
Sacramento Kings,57,32,25,0.561,48.1,119.5,26.8
Boston Celtics,60,43,17,0.717,48.7,118.3,26.4
Denver Nuggets,60,42,18,0.7,48.2,117.1,29.1
Los Angeles Lakers,59,27,32,0.458,48.6,117.0,25.2
Memphis Grizzlies,58,35,23,0.603,48.5,115.9,25.3
Milwaukee Bucks,58,41,17,0.707,48.4,114.8,24.7
New York Knicks,60,33,27,0.55,48.7,114.6,22.4
Philadelphia 76ers,58,39,19,0.672,48.4,114.3,25.1
Brooklyn Nets,58,34,24,0.586,48.4,114.0,25.8
Cleveland Cavaliers,62,38,24,0.613,48.2,111.7,24.9
Miami Heat,59,32,27,0.542,48.3,108.3,23.4
